2.989	-620.9683765397989
3.115	-621.02995765023275
3.245	-621.07989715616907
3.381	-621.1205868564607
3.523	-621.15334600073038
3.670	-621.1792964011463
3.824	-621.19996557609284
3.984	-621.21621219560598  
4.151	-621.22902087565751
4.325	-621.23911427945882
4.506	-621.25891384424074  
4.694	-621.25346573134129
4.891	-621.25865092843731
5.096	-621.27323723197151
5.309	-617.90372212742943
5.532	-617.87950369965438 
5.763	-617.85611055370464  
6.005	-617.83280203144989  
6.256	-617.8087743361076  
6.518	-589.17396139000505  
6.791	-588.88298440439962  
7.075	-588.60665709822479  
7.372	-588.34082299732665  
7.680	-588.08686857021155  
8.002	-599.22081042222271  
8.337	-587.60906888561976  
8.686	-587.38589562999005  
9.050	-587.17241093705547  
9.429	-586.96837741075512  
9.824	-586.77283932074374  
10.236	-586.58488751205823  
10.664	-586.40457314231162
11.111	-586.23042045674583  
11.576	-575.36824959086334  
12.061	-575.15649824479203  
12.566	-574.95274923752163
13.092	-574.75670031833249  
13.640	-574.56802873535685  
14.212	-574.38609345412067
14.807	-574.21121404516202  
